frame,left,right,diff,decision
frame_000000.jpg,-0.001990,0.007121,-0.009111,left
frame_000001.jpg,-0.001851,0.006855,-0.008706,left
frame_000002.jpg,-0.002201,0.007182,-0.009383,left
frame_000003.jpg,-0.001431,0.006952,-0.008383,left
frame_000004.jpg,-0.001635,0.007097,-0.008732,left
frame_000005.jpg,-0.001798,0.007127,-0.008925,left
frame_000006.jpg,-0.001726,0.007179,-0.008905,left
frame_000007.jpg,-0.000622,0.005410,-0.006032,left
frame_000008.jpg,0.006571,0.005986,0.000585,right
frame_000009.jpg,0.006750,0.005727,0.001023,right
frame_000010.jpg,0.007406,0.005658,0.001747,right
frame_000011.jpg,0.007281,0.005665,0.001616,right
frame_000012.jpg,0.006908,0.005486,0.001423,right
frame_000013.jpg,0.001411,0.001847,-0.000436,left
frame_000014.jpg,0.005275,0.004052,0.001223,right
frame_000015.jpg,0.003242,0.006512,-0.003271,left
frame_000016.jpg,-0.001883,0.005949,-0.007832,left
frame_000017.jpg,-0.001997,0.001144,-0.003140,left
frame_000018.jpg,-0.000609,-0.000401,-0.000208,left
frame_000019.jpg,-0.001775,-0.000310,-0.001466,left
frame_000020.jpg,0.000601,-0.001492,0.002093,right
frame_000021.jpg,0.000679,-0.001573,0.002252,right
frame_000022.jpg,0.000310,-0.001460,0.001770,right
frame_000023.jpg,0.000404,-0.001382,0.001786,right
frame_000024.jpg,0.000005,-0.001202,0.001206,right
frame_000025.jpg,0.000470,-0.001493,0.001964,right
frame_000026.jpg,0.000609,-0.001449,0.002058,right
frame_000027.jpg,0.000420,-0.001350,0.001769,right
frame_000028.jpg,0.000667,-0.001492,0.002159,right
frame_000029.jpg,0.000597,-0.001417,0.002014,right
frame_000030.jpg,-0.001885,0.007289,-0.009174,left
frame_000031.jpg,-0.001581,0.007073,-0.008655,left
frame_000032.jpg,-0.001414,0.006982,-0.008396,left
frame_000033.jpg,-0.001430,0.006979,-0.008409,left
frame_000034.jpg,-0.001641,0.007161,-0.008803,left
frame_000035.jpg,-0.001992,0.007040,-0.009032,left
frame_000036.jpg,-0.001364,0.006969,-0.008334,left
frame_000037.jpg,-0.002384,0.007140,-0.009524,left
frame_000038.jpg,-0.001016,0.003998,-0.005015,left
frame_000039.jpg,0.008996,0.006728,0.002269,right
frame_000040.jpg,0.009091,0.006859,0.002232,right
frame_000041.jpg,0.009049,0.006946,0.002104,right
frame_000042.jpg,0.008993,0.006941,0.002052,right
frame_000043.jpg,0.009479,0.006730,0.002749,right
frame_000044.jpg,0.004589,0.004448,0.000141,right
frame_000045.jpg,0.008525,0.004111,0.004413,right
frame_000046.jpg,0.004520,0.006905,-0.002385,left
frame_000047.jpg,-0.000768,0.006036,-0.006804,left
frame_000048.jpg,-0.005851,0.000680,-0.006531,left
frame_000049.jpg,0.004343,0.003305,0.001038,right
frame_000050.jpg,0.004511,0.003892,0.000619,right
frame_000051.jpg,-0.002678,-0.001867,-0.000811,left
frame_000052.jpg,-0.003435,-0.001875,-0.001560,left
frame_000053.jpg,-0.003408,-0.002332,-0.001076,left
frame_000054.jpg,-0.003020,-0.001317,-0.001704,left
frame_000055.jpg,-0.001518,0.006984,-0.008502,left
frame_000056.jpg,-0.001431,0.007068,-0.008499,left
frame_000057.jpg,-0.001425,0.007045,-0.008470,left
frame_000058.jpg,-0.001687,0.007144,-0.008831,left
frame_000059.jpg,0.002759,0.002091,0.000667,right
frame_000060.jpg,0.007877,0.006610,0.001267,right
frame_000061.jpg,0.007365,0.006659,0.000707,right
frame_000062.jpg,0.008093,0.006658,0.001435,right
frame_000063.jpg,0.005440,0.003920,0.001520,right
frame_000064.jpg,0.003947,0.003854,0.000093,right
frame_000065.jpg,0.004451,0.007368,-0.002918,left
frame_000066.jpg,-0.001376,0.006611,-0.007987,left
frame_000067.jpg,-0.004548,0.000605,-0.005154,left
frame_000068.jpg,-0.000611,0.000913,-0.001524,left
frame_000069.jpg,0.008500,0.003761,0.004739,right
frame_000070.jpg,-0.000916,-0.000357,-0.000559,left
frame_000071.jpg,-0.001502,-0.000258,-0.001243,left
frame_000072.jpg,-0.001097,-0.000422,-0.000674,left
frame_000073.jpg,-0.001158,-0.000050,-0.001109,left
frame_000074.jpg,-0.001637,0.007093,-0.008730,left
frame_000075.jpg,-0.001943,0.007226,-0.009169,left
frame_000076.jpg,-0.001728,0.007218,-0.008946,left
frame_000077.jpg,-0.001368,0.006791,-0.008159,left
frame_000078.jpg,-0.001364,0.006958,-0.008322,left
frame_000079.jpg,-0.001931,0.007044,-0.008975,left
frame_000080.jpg,-0.001410,0.006968,-0.008378,left
frame_000081.jpg,0.005645,0.003583,0.002062,right
frame_000082.jpg,0.008490,0.006212,0.002278,right
frame_000083.jpg,0.009265,0.005905,0.003360,right
frame_000084.jpg,0.008051,0.006077,0.001974,right
frame_000085.jpg,0.008085,0.004045,0.004040,right
frame_000086.jpg,0.002609,0.002872,-0.000263,left
frame_000087.jpg,0.005962,0.002948,0.003015,right
frame_000088.jpg,0.003872,0.006978,-0.003107,left
frame_000089.jpg,-0.000042,0.005092,-0.005134,left
frame_000090.jpg,-0.002188,0.000395,-0.002584,left
frame_000091.jpg,0.001482,-0.003326,0.004808,right
frame_000092.jpg,-0.000257,0.002005,-0.002261,left
frame_000093.jpg,-0.001815,0.002889,-0.004703,left
frame_000094.jpg,-0.002437,0.003060,-0.005497,left
frame_000095.jpg,-0.001854,0.003202,-0.005056,left
frame_000096.jpg,-0.001493,0.007028,-0.008522,left
frame_000097.jpg,-0.002092,0.007251,-0.009343,left
frame_000098.jpg,-0.001529,0.007073,-0.008602,left
frame_000099.jpg,-0.001698,0.007029,-0.008728,left
frame_000100.jpg,0.005823,0.003559,0.002264,right
frame_000101.jpg,0.009724,0.006657,0.003066,right
frame_000102.jpg,0.007873,0.009470,-0.001597,left
frame_000103.jpg,0.007931,0.009267,-0.001336,left
frame_000104.jpg,0.004821,0.004981,-0.000160,left
frame_000105.jpg,0.008710,0.005811,0.002898,right
frame_000106.jpg,0.005987,0.008000,-0.002013,left
frame_000107.jpg,0.000184,0.008053,-0.007869,left
frame_000108.jpg,-0.004019,-0.000434,-0.003586,left
frame_000109.jpg,0.000059,0.004222,-0.004163,left
frame_000110.jpg,0.005004,0.003661,0.001344,right
frame_000111.jpg,-0.000050,0.001368,-0.001418,left
frame_000112.jpg,0.000479,0.001071,-0.000591,left
frame_000113.jpg,0.000512,0.000803,-0.000291,left
frame_000114.jpg,-0.001572,0.007004,-0.008575,left
frame_000115.jpg,-0.001418,0.006917,-0.008335,left
frame_000116.jpg,-0.001481,0.006999,-0.008480,left
frame_000117.jpg,-0.001566,0.006941,-0.008508,left
frame_000118.jpg,-0.001475,0.006944,-0.008419,left
frame_000119.jpg,-0.001765,0.002118,-0.003883,left
frame_000120.jpg,0.007511,0.006736,0.000775,right
frame_000121.jpg,0.007033,0.007018,0.000015,right
frame_000122.jpg,0.007436,0.006905,0.000531,right
frame_000123.jpg,0.007092,0.006754,0.000337,right
frame_000124.jpg,0.007711,0.006767,0.000944,right
frame_000125.jpg,0.001677,0.002620,-0.000944,left
