frame,left,right,diff,decision
frame_000000.jpg,-0.002327,0.007234,-0.009562,left
frame_000001.jpg,-0.002082,0.007067,-0.009150,left
frame_000002.jpg,-0.001732,0.006998,-0.008730,left
frame_000003.jpg,-0.001715,0.007157,-0.008872,left
frame_000004.jpg,-0.001451,0.007000,-0.008451,left
frame_000005.jpg,-0.001582,0.007085,-0.008667,left
frame_000006.jpg,-0.001485,0.006952,-0.008437,left
frame_000007.jpg,-0.000395,0.005133,-0.005528,left
frame_000008.jpg,0.007153,0.006673,+0.000480,right
frame_000009.jpg,0.007182,0.005734,+0.001448,right
frame_000010.jpg,0.007532,0.005572,+0.001960,right
frame_000011.jpg,0.007447,0.005641,+0.001806,right
frame_000012.jpg,0.006720,0.005584,+0.001136,right
frame_000013.jpg,0.001478,0.001988,-0.000511,left
frame_000014.jpg,0.005642,0.003849,+0.001793,right
frame_000015.jpg,0.002950,0.006397,-0.003447,left
frame_000016.jpg,-0.002357,0.005897,-0.008254,left
frame_000017.jpg,-0.002231,0.001305,-0.003536,left
frame_000018.jpg,-0.000626,-0.000299,-0.000327,left
frame_000019.jpg,-0.001905,-0.000189,-0.001716,left
frame_000020.jpg,0.000085,-0.001152,+0.001237,right
frame_000021.jpg,0.000609,-0.001525,+0.002134,right
frame_000022.jpg,0.000616,-0.001664,+0.002280,right
frame_000023.jpg,0.000385,-0.001404,+0.001789,right
frame_000024.jpg,0.000558,-0.001487,+0.002045,right
frame_000025.jpg,0.000619,-0.001510,+0.002129,right
frame_000026.jpg,0.000603,-0.001395,+0.001998,right
frame_000027.jpg,0.000271,-0.001304,+0.001574,right
frame_000028.jpg,0.000635,-0.001123,+0.001758,right
frame_000029.jpg,0.000546,-0.001360,+0.001905,right
frame_000030.jpg,-0.001428,0.007016,-0.008444,left
frame_000031.jpg,-0.001433,0.006997,-0.008431,left
frame_000032.jpg,-0.002051,0.007059,-0.009110,left
frame_000033.jpg,-0.001745,0.007233,-0.008978,left
frame_000034.jpg,-0.001746,0.007150,-0.008896,left
frame_000035.jpg,-0.001498,0.006989,-0.008487,left
frame_000036.jpg,-0.002000,0.007228,-0.009227,left
frame_000037.jpg,-0.001483,0.007014,-0.008497,left
frame_000038.jpg,-0.001064,0.003864,-0.004928,left
frame_000039.jpg,0.009517,0.006736,+0.002781,right
frame_000040.jpg,0.009239,0.006653,+0.002586,right
frame_000041.jpg,0.009697,0.006729,+0.002968,right
frame_000042.jpg,0.009338,0.006796,+0.002543,right
frame_000043.jpg,0.009667,0.006682,+0.002985,right
frame_000044.jpg,0.004701,0.004405,+0.000296,right
frame_000045.jpg,0.008685,0.003514,+0.005171,right
frame_000046.jpg,0.004357,0.007197,-0.002840,left
frame_000047.jpg,-0.000819,0.006231,-0.007050,left
frame_000048.jpg,-0.005747,0.001301,-0.007048,left
frame_000049.jpg,0.004339,0.003306,+0.001034,right
frame_000050.jpg,0.004366,0.003529,+0.000836,right
frame_000051.jpg,-0.003814,-0.001633,-0.002180,left
frame_000052.jpg,-0.002312,-0.002133,-0.000179,left
frame_000053.jpg,-0.002610,-0.002088,-0.000522,left
frame_000054.jpg,-0.002409,-0.002263,-0.000146,left
frame_000055.jpg,-0.001508,0.007002,-0.008510,left
frame_000056.jpg,-0.001763,0.007196,-0.008959,left
frame_000057.jpg,-0.001404,0.006889,-0.008292,left
frame_000058.jpg,-0.001586,0.006919,-0.008504,left
frame_000059.jpg,0.002955,0.001704,+0.001252,right
frame_000060.jpg,0.008076,0.006645,+0.001432,right
frame_000061.jpg,0.007656,0.006617,+0.001039,right
frame_000062.jpg,0.007574,0.006689,+0.000885,right
frame_000063.jpg,0.004998,0.003795,+0.001204,right
frame_000064.jpg,0.003781,0.003607,+0.000174,right
frame_000065.jpg,0.004598,0.007765,-0.003167,left
frame_000066.jpg,-0.001937,0.006896,-0.008833,left
frame_000067.jpg,-0.004568,0.000398,-0.004966,left
frame_000068.jpg,-0.000864,0.001426,-0.002290,left
frame_000069.jpg,0.008707,0.003823,+0.004884,right
frame_000070.jpg,-0.001369,-0.000304,-0.001065,left
frame_000071.jpg,-0.001100,-0.000250,-0.000850,left
frame_000072.jpg,-0.001193,-0.000177,-0.001016,left
frame_000073.jpg,-0.000850,-0.000694,-0.000156,left
frame_000074.jpg,-0.001686,0.007035,-0.008721,left
frame_000075.jpg,-0.001993,0.007050,-0.009042,left
frame_000076.jpg,-0.001391,0.006963,-0.008354,left
frame_000077.jpg,-0.001524,0.007051,-0.008575,left
frame_000078.jpg,-0.001499,0.006946,-0.008445,left
frame_000079.jpg,-0.001694,0.007155,-0.008849,left
frame_000080.jpg,-0.001721,0.007209,-0.008930,left
frame_000081.jpg,0.005795,0.003632,+0.002163,right
frame_000082.jpg,0.008906,0.006046,+0.002861,right
frame_000083.jpg,0.009242,0.006118,+0.003124,right
frame_000084.jpg,0.009234,0.006459,+0.002775,right
frame_000085.jpg,0.008685,0.005117,+0.003568,right
frame_000086.jpg,0.001147,0.003375,-0.002228,left
frame_000087.jpg,0.005936,0.002954,+0.002982,right
frame_000088.jpg,0.003912,0.007006,-0.003094,left
frame_000089.jpg,0.000240,0.005452,-0.005211,left
frame_000090.jpg,-0.002221,0.000486,-0.002707,left
frame_000091.jpg,0.001395,-0.003459,+0.004854,right
frame_000092.jpg,-0.000287,0.001977,-0.002264,left
frame_000093.jpg,-0.002213,0.002692,-0.004906,left
frame_000094.jpg,-0.001320,0.002425,-0.003745,left
frame_000095.jpg,-0.001987,0.002780,-0.004767,left
frame_000096.jpg,-0.001528,0.007004,-0.008532,left
frame_000097.jpg,-0.001542,0.006973,-0.008515,left
frame_000098.jpg,-0.001736,0.007187,-0.008923,left
frame_000099.jpg,-0.001645,0.007135,-0.008780,left
frame_000100.jpg,0.005959,0.003608,+0.002352,right
frame_000101.jpg,0.008694,0.006944,+0.001750,right
frame_000102.jpg,0.007789,0.009462,-0.001673,left
frame_000103.jpg,0.007984,0.009558,-0.001573,left
frame_000104.jpg,0.004418,0.005124,-0.000706,left
frame_000105.jpg,0.008656,0.005824,+0.002832,right
frame_000106.jpg,0.005981,0.008813,-0.002832,left
frame_000107.jpg,0.000305,0.007779,-0.007474,left
frame_000108.jpg,-0.004339,-0.000563,-0.003776,left
frame_000109.jpg,0.000098,0.004086,-0.003989,left
frame_000110.jpg,0.005078,0.003481,+0.001598,right
frame_000111.jpg,0.000207,0.001086,-0.000879,left
frame_000112.jpg,0.000298,0.001115,-0.000818,left
frame_000113.jpg,-0.000460,0.000617,-0.001077,left
frame_000114.jpg,-0.001510,0.007025,-0.008535,left
frame_000115.jpg,-0.001723,0.007206,-0.008929,left
frame_000116.jpg,-0.001743,0.007042,-0.008785,left
frame_000117.jpg,-0.001351,0.006979,-0.008330,left
frame_000118.jpg,-0.001596,0.007005,-0.008601,left
frame_000119.jpg,-0.001564,0.002014,-0.003578,left
frame_000120.jpg,0.008327,0.006001,+0.002326,right
frame_000121.jpg,0.007214,0.006671,+0.000543,right
frame_000122.jpg,0.008318,0.006059,+0.002259,right
frame_000123.jpg,0.006723,0.007018,-0.000295,left
frame_000124.jpg,0.006506,0.006878,-0.000372,left
frame_000125.jpg,0.001236,0.003503,-0.002268,left
frame_000126.jpg,0.005979,0.004320,+0.001659,right
frame_000127.jpg,0.004207,0.007159,-0.002952,left
frame_000128.jpg,-0.000945,0.002190,-0.003136,left
frame_000129.jpg,-0.005212,-0.000348,-0.004864,left
frame_000130.jpg,0.003053,0.004653,-0.001600,left
frame_000131.jpg,-0.000618,0.000537,-0.001155,left
frame_000132.jpg,-0.000033,0.005447,-0.005480,left
frame_000133.jpg,0.000527,0.005609,-0.005082,left
frame_000134.jpg,-0.000231,0.005394,-0.005625,left
frame_000135.jpg,-0.001706,0.007037,-0.008743,left
frame_000136.jpg,-0.001461,0.006940,-0.008401,left
