frame,left,right,diff,decision
frame_000000.jpg,-0.001943,0.007195,-0.009138,left
frame_000001.jpg,-0.001370,0.006956,-0.008325,left
frame_000002.jpg,-0.001335,0.006898,-0.008234,left
frame_000003.jpg,-0.001790,0.007111,-0.008902,left
frame_000004.jpg,-0.003286,0.007662,-0.010948,left
frame_000005.jpg,-0.001478,0.006991,-0.008469,left
frame_000006.jpg,-0.001373,0.007009,-0.008382,left
frame_000007.jpg,-0.000263,0.004997,-0.005260,left
frame_000008.jpg,0.007241,0.005683,0.001558,right
frame_000009.jpg,0.007138,0.005488,0.001650,right
frame_000010.jpg,0.007283,0.005518,0.001765,right
frame_000011.jpg,0.007117,0.005829,0.001288,right
frame_000012.jpg,0.007028,0.005410,0.001618,right
frame_000013.jpg,0.001546,0.001616,-0.000070,left
frame_000014.jpg,0.005549,0.003566,0.001982,right
frame_000015.jpg,0.003163,0.006563,-0.003400,left
frame_000016.jpg,-0.001845,0.005645,-0.007490,left
frame_000017.jpg,-0.002377,0.001216,-0.003593,left
frame_000018.jpg,-0.001004,-0.000627,-0.000377,left
frame_000019.jpg,-0.001845,-0.000209,-0.001636,left
frame_000020.jpg,0.000653,-0.001457,0.002110,right
frame_000021.jpg,0.000453,-0.001380,0.001833,right
frame_000022.jpg,0.000640,-0.001392,0.002032,right
frame_000023.jpg,0.000534,-0.001429,0.001963,right
frame_000024.jpg,0.000438,-0.001459,0.001897,right
frame_000025.jpg,0.000452,-0.001347,0.001799,right
frame_000026.jpg,0.000418,-0.001490,0.001908,right
frame_000027.jpg,0.000264,-0.001252,0.001516,right
frame_000028.jpg,0.000086,-0.001289,0.001376,right
frame_000029.jpg,0.000385,-0.001287,0.001672,right
frame_000030.jpg,-0.001448,0.007033,-0.008481,left
frame_000031.jpg,-0.001529,0.007073,-0.008602,left
frame_000032.jpg,-0.001371,0.006962,-0.008333,left
frame_000033.jpg,-0.001870,0.007049,-0.008918,left
frame_000034.jpg,-0.001582,0.007049,-0.008631,left
frame_000035.jpg,-0.002322,0.007186,-0.009508,left
frame_000036.jpg,-0.001761,0.007199,-0.008960,left
frame_000037.jpg,-0.001714,0.007167,-0.008881,left
frame_000038.jpg,-0.001396,0.004075,-0.005470,left
frame_000039.jpg,0.009870,0.006667,0.003203,right
frame_000040.jpg,0.009474,0.006744,0.002730,right
frame_000041.jpg,0.008972,0.006721,0.002252,right
frame_000042.jpg,0.009168,0.006837,0.002331,right
frame_000043.jpg,0.009531,0.006845,0.002686,right
frame_000044.jpg,0.004685,0.004407,0.000278,right
frame_000045.jpg,0.009599,0.004360,0.005239,right
frame_000046.jpg,0.004431,0.007040,-0.002609,left
frame_000047.jpg,-0.000776,0.006177,-0.006953,left
frame_000048.jpg,-0.006359,0.001195,-0.007554,left
frame_000049.jpg,0.004779,0.003791,0.000988,right
frame_000050.jpg,0.004538,0.004035,0.000503,right
frame_000051.jpg,-0.002542,-0.001818,-0.000724,left
frame_000052.jpg,-0.002794,-0.001852,-0.000942,left
frame_000053.jpg,-0.003071,-0.001881,-0.001190,left
frame_000054.jpg,-0.002347,-0.001812,-0.000535,left
frame_000055.jpg,-0.001246,0.006921,-0.008166,left
frame_000056.jpg,-0.001723,0.007176,-0.008899,left
frame_000057.jpg,-0.001562,0.007085,-0.008646,left
frame_000058.jpg,-0.001836,0.007207,-0.009044,left
frame_000059.jpg,0.002490,0.001348,0.001142,right
frame_000060.jpg,0.008233,0.006567,0.001666,right
frame_000061.jpg,0.007704,0.006642,0.001062,right
frame_000062.jpg,0.007807,0.006717,0.001090,right
frame_000063.jpg,0.004869,0.004002,0.000867,right
frame_000064.jpg,0.004225,0.003742,0.000483,right
frame_000065.jpg,0.004681,0.007379,-0.002698,left
frame_000066.jpg,-0.001045,0.007182,-0.008227,left
frame_000067.jpg,-0.004633,0.000550,-0.005183,left
frame_000068.jpg,-0.001142,0.000880,-0.002022,left
frame_000069.jpg,0.008449,0.004048,0.004400,right
frame_000070.jpg,-0.001182,-0.000462,-0.000720,left
frame_000071.jpg,-0.001295,-0.000467,-0.000829,left
frame_000072.jpg,-0.001372,-0.000346,-0.001026,left
frame_000073.jpg,-0.001260,-0.000290,-0.000970,left
frame_000074.jpg,-0.001425,0.006976,-0.008401,left
frame_000075.jpg,-0.001415,0.006993,-0.008408,left
frame_000076.jpg,-0.001448,0.006983,-0.008431,left
frame_000077.jpg,-0.001457,0.006957,-0.008414,left
frame_000078.jpg,-0.002358,0.007328,-0.009685,left
frame_000079.jpg,-0.001712,0.007139,-0.008851,left
frame_000080.jpg,-0.001479,0.007068,-0.008547,left
frame_000081.jpg,0.005522,0.003357,0.002165,right
frame_000082.jpg,0.008987,0.006574,0.002413,right
frame_000083.jpg,0.009266,0.005789,0.003477,right
frame_000084.jpg,0.009634,0.005780,0.003854,right
frame_000085.jpg,0.008721,0.003926,0.004794,right
frame_000086.jpg,0.001001,0.003272,-0.002271,left
frame_000087.jpg,0.005854,0.003147,0.002708,right
frame_000088.jpg,0.003598,0.006942,-0.003343,left
frame_000089.jpg,0.000497,0.005513,-0.005016,left
frame_000090.jpg,-0.002069,0.000409,-0.002479,left
frame_000091.jpg,0.001270,-0.003193,0.004463,right
frame_000092.jpg,-0.000355,0.002059,-0.002413,left
frame_000093.jpg,-0.001901,0.003190,-0.005090,left
frame_000094.jpg,-0.001880,0.002811,-0.004691,left
