frame_000007.jpg: left_vel=-0.002222 right_vel=0.005518 diff=-0.007739 decision=left (22.4 ms)
frame_000037.jpg: left_vel=-0.002405 right_vel=0.007471 diff=-0.009875 decision=left (22.4 ms)
frame_000038.jpg: left_vel=-0.001416 right_vel=0.003369 diff=-0.004785 decision=left (22.4 ms)
frame_000059.jpg: left_vel=0.002136 right_vel=0.000684 diff=+0.001453 decision=right (22.3 ms)
frame_000080.jpg: left_vel=-0.002405 right_vel=0.007471 diff=-0.009875 decision=left (24.5 ms)
frame_000081.jpg: left_vel=0.005396 right_vel=0.002881 diff=+0.002515 decision=right (22.9 ms)
frame_000100.jpg: left_vel=0.005396 right_vel=0.002881 diff=+0.002515 decision=right (24.4 ms)
frame_000119.jpg: left_vel=-0.002515 right_vel=0.002441 diff=-0.004956 decision=left (25.0 ms)
frame_000139.jpg: left_vel=-0.001819 right_vel=0.005225 diff=-0.007043 decision=left (24.8 ms)
frame_000140.jpg: left_vel=-0.002771 right_vel=0.001660 diff=-0.004431 decision=left (24.7 ms)
frame_000162.jpg: left_vel=-0.002405 right_vel=0.007471 diff=-0.009875 decision=left (24.5 ms)
frame_000163.jpg: left_vel=0.005396 right_vel=0.002881 diff=+0.002515 decision=right (22.9 ms)
frame_000164.jpg: left_vel=0.008728 right_vel=0.006738 diff=+0.001990 decision=right (22.8 ms)
frame_000184.jpg: left_vel=0.002136 right_vel=0.000684 diff=+0.001453 decision=right (23.1 ms)
frame_000185.jpg: left_vel=0.008728 right_vel=0.006738 diff=+0.001990 decision=right (22.9 ms)
frame_000206.jpg: left_vel=-0.002405 right_vel=0.007471 diff=-0.009875 decision=left (22.9 ms)
frame_000207.jpg: left_vel=-0.001416 right_vel=0.003369 diff=-0.004785 decision=left (22.9 ms)
frame_000228.jpg: left_vel=-0.000317 right_vel=-0.000293 diff=-0.000024 decision=left (22.8 ms)
frame_000229.jpg: left_vel=0.002356 right_vel=-0.004688 diff=+0.007043 decision=right (22.6 ms)
frame_000250.jpg: left_vel=0.005688 right_vel=-0.000391 diff=+0.006079 decision=right (23.2 ms)
frame_000251.jpg: left_vel=0.006860 right_vel=0.002002 diff=+0.004858 decision=right (23.0 ms)
