frame,left,right,diff,pred,gt,ref_fp32
frame_000007.jpg,-0.002148,0.005713,-0.007861,left,left,left
frame_000037.jpg,-0.002515,0.007373,-0.009888,left,left,left
frame_000038.jpg,-0.001196,0.003662,-0.004858,left,left,left
frame_000059.jpg,0.002576,0.001270,0.001306,right,left,right
frame_000080.jpg,-0.002515,0.007373,-0.009888,left,left,left
frame_000081.jpg,0.005249,0.003271,0.001978,right,left,right
frame_000100.jpg,0.005249,0.003271,0.001978,right,left,right
frame_000119.jpg,-0.002551,0.002393,-0.004944,left,left,left
frame_000139.jpg,-0.001819,0.005225,-0.007043,left,left,left
frame_000140.jpg,-0.003064,0.002393,-0.005457,left,left,left
frame_000162.jpg,-0.002515,0.007373,-0.009888,left,left,left
frame_000163.jpg,0.005249,0.003271,0.001978,right,left,right
frame_000164.jpg,0.008838,0.006787,0.002051,right,left,right
frame_000184.jpg,0.002576,0.001270,0.001306,right,left,right
frame_000185.jpg,0.008838,0.006787,0.002051,right,left,right
frame_000206.jpg,-0.002515,0.007373,-0.009888,left,left,left
frame_000207.jpg,-0.001196,0.003662,-0.004858,left,left,left
frame_000228.jpg,-0.000244,-0.000293,0.000049,right,right,right
frame_000229.jpg,0.001917,-0.004102,0.006018,right,right,right
frame_000250.jpg,0.005615,-0.000391,0.006006,right,right,right
frame_000251.jpg,0.006714,0.001855,0.004858,right,right,right
frame_000270.jpg,0.005615,-0.000391,0.006006,right,right,right
frame_000271.jpg,0.010779,0.009180,0.001599,right,right,right
frame_000291.jpg,0.002026,-0.007812,0.009839,right,right,right
frame_000292.jpg,0.004846,0.000146,0.004700,right,right,right
frame_000312.jpg,0.001257,-0.004785,0.006042,right,right,right
frame_000313.jpg,0.006604,0.003760,0.002844,right,right,right
frame_000330.jpg,0.005615,-0.000391,0.006006,right,right,right
frame_000331.jpg,0.010779,0.009180,0.001599,right,right,right
frame_000351.jpg,0.001257,-0.004785,0.006042,right,right,right
frame_000352.jpg,0.006604,0.003760,0.002844,right,right,right
frame_000371.jpg,0.004663,-0.003613,0.008276,right,right,right
frame_000372.jpg,0.004846,0.000146,0.004700,right,right,right
frame_000392.jpg,0.004663,-0.003613,0.008276,right,right,right
frame_000393.jpg,0.004846,0.000146,0.004700,right,right,right
frame_000411.jpg,0.001477,-0.000781,0.002258,right,right,right
frame_000433.jpg,-0.004858,0.004053,-0.008911,left,left,left
frame_000462.jpg,-0.009766,0.008105,-0.017871,left,left,left
frame_000463.jpg,-0.002698,0.005518,-0.008215,left,left,left
frame_000490.jpg,-0.004858,0.004053,-0.008911,left,left,left
frame_000491.jpg,0.005908,0.003223,0.002686,right,left,right
frame_000518.jpg,-0.009766,0.008105,-0.017871,left,left,left
frame_000519.jpg,-0.002698,0.005518,-0.008215,left,left,left
frame_000541.jpg,-0.004858,0.004053,-0.008911,left,left,left
frame_000542.jpg,0.004114,0.005957,-0.001843,left,left,left
frame_000564.jpg,-0.009766,0.008105,-0.017871,left,left,left
frame_000565.jpg,-0.002698,0.005518,-0.008215,left,left,left
frame_000585.jpg,-0.009766,0.008105,-0.017871,left,left,left
frame_000586.jpg,-0.002698,0.005518,-0.008215,left,left,left
frame_000607.jpg,-0.009766,0.008105,-0.017871,left,left,left
frame_000608.jpg,-0.000098,0.003711,-0.003809,left,left,left
frame_000628.jpg,-0.009766,0.008105,-0.017871,left,left,left
frame_000629.jpg,-0.000098,0.003711,-0.003809,left,left,left
frame_000630.jpg,0.008545,0.006299,0.002246,right,left,right
frame_000649.jpg,-0.009766,0.008105,-0.017871,left,left,left
frame_000650.jpg,-0.000098,0.003711,-0.003809,left,left,left
